product_name,url,image1_url,image2_url,product_price,description,sale_price,old_price,original_price,current_price,color,image_url,mpn,reference_code,category_id,Stock Status,color_homogeneizado,Categoria,Fondo,Modelo
Pantalón pinzas botones cintura,https://www.pullandbear.com/es/pantalon-pinzas-botones-cintura-l03680528?cS=251&pelement=662020819,https://static.pullandbear.net/assets/public/50bb/d0eb/8cc44629b03b/962754c369a0/03680528251-E/03680528251-E.jpg?ts=1738057638884&w=438&f=auto,https://static.pullandbear.net/assets/public/c443/4eb9/f15c49f1a40d/73cb30ad4350/03680528251-M/03680528251-M.jpg?ts=1737559179977&w=438&f=auto,35.99,"Pantalón de vestir, con pinzas delanteras, cintura con trabillas, detalle de botones, y cierre de botón y cremallera.",,,,35.99,Blanco roto,https://static.pullandbear.net/assets/public/812d/866a/af4541ab997a/e38d84ef408d/03680528251-C/03680528251-C.jpg?ts=1736339495612&w=106&f=auto,3680/528,03680528,1030204719,In stock,Blanco,Pantalón,Otro color,Modelo
Pantalón chándal wide leg,https://www.pullandbear.com/es/pantalon-chandal-wide-leg-l03680529?cS=811&pelement=662020953,https://static.pullandbear.net/assets/public/62d7/b98f/873445c3bc14/7fcc5f99af79/03680529811-E/03680529811-E.jpg?ts=1738057730517&w=438&f=auto,https://static.pullandbear.net/assets/public/b508/01ce/9deb49148392/10f68f77f7f2/03680529811-M/03680529811-M.jpg?ts=1737559180358&w=438&f=auto,25.99,"Pantalón jogger chándal wide leg, con cintura elástica y confeccionado en algodón.",,,,25.99,Gris claro,https://static.pullandbear.net/assets/public/d55b/2794/d95a44ba9169/d408e88c7510/03680529811-C/03680529811-C.jpg?ts=1736783201679&w=106&f=auto,3680/529,03680529,1030204719,In stock,Gris,Pantalón,Otro color,Modelo
Pantalón chándal baggy,https://www.pullandbear.com/es/pantalon-chandal-baggy-l07679500?cS=803&pelement=662027213,https://static.pullandbear.net/assets/public/3426/180a/3fb54938b507/3f288498f3e7/07679500803-A7M/07679500803-A7M.jpg?ts=1736441514208&w=438&f=auto,https://static.pullandbear.net/assets/public/1b02/7242/e84e4460a917/962d9bd2e1d5/07679502803-M/07679502803-M.jpg?ts=1736441512919&w=438&f=auto,22.99,"Pantalón de chándal jogger de corte baggy, con detalle de logo engomado, bolsillos laterales, cintura elástica con cordón y confeccionada en algodón.",,,,22.99,Gris vigoré,https://static.pullandbear.net/assets/public/a4ca/3288/8a954a68b683/2031334c26a9/07679502803-C/07679502803-C.jpg?ts=1737973424011&w=106&f=auto,7679/500,07679500,1030204719,In stock,Gris,Pantalón,Blanco,Modelo
Pantalón chándal baggy,https://www.pullandbear.com/es/pantalon-chandal-baggy-l07679500?cS=807&pelement=662027216,https://static.pullandbear.net/assets/public/c6d6/3b50/75b44367ad68/d9a7fd1e9f8f/07679500807-A7M/07679500807-A7M.jpg?ts=1727786616190&w=438&f=auto,https://static.pullandbear.net/assets/public/27fd/72b3/944540d8a9c3/2a2b680bf0d0/07679501807-M/07679501807-M.jpg?ts=1726483077322&w=438&f=auto,22.99,"Pantalón de chándal jogger de corte baggy, con detalle de logo engomado, bolsillos laterales, cintura elástica con cordón y confeccionada en algodón.",,,,22.99,Gris antracita,https://static.pullandbear.net/assets/public/00a2/03c6/d3924b07a4f1/efb76aa56f45/07679501807-C/07679501807-C.jpg?ts=1726492936458&w=106&f=auto,7679/500,07679500,1030204719,In stock,Gris,Pantalón,Blanco,Modelo
Pantalón chándal STWD,https://www.pullandbear.com/es/pantalon-chandal-stwd-l07678506?cS=803&pelement=662026663,https://static.pullandbear.net/assets/public/b323/39b2/355a4d9b8e34/152552123f04/07678506803-A1M/07678506803-A1M.jpg?ts=1724661516563&w=438&f=auto,https://static.pullandbear.net/assets/public/f72e/0b9c/d5984d6b956b/db8995976097/07678506803-M/07678506803-M.jpg?ts=1724661523765&w=438&f=auto,19.99,"Pantalón jogger chándal STWD con cintura elástica con cordón, bolsillos y en tejido fleece.",,,,19.99,Gris vigoré,https://static.pullandbear.net/assets/public/4afb/d93b/99eb492a9a6c/5169deefd5a1/07678506803-C/07678506803-C.jpg?ts=1721661495077&w=106&f=auto,7678/506,07678506,1030204719,In stock,Gris,Pantalón,Blanco,Modelo
Pantalón chándal técnico,https://www.pullandbear.com/es/pantalon-chandal-tecnico-l07678503?cS=800&pelement=662021369,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7678/503/800/7678503800_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718024524911&w=438&f=auto,https://static.pullandbear.net/assets/public/2277/6815/e6c248559e03/27e8ccec2749/07678503800-A2M/07678503800-A2M.jpg?ts=1718024516443&w=438&f=auto,19.99,"Pantalón jogger chándal técnico en tejido interlock elástico, con bolsillos laterales con cremallera, cintura elástica con cordón y disponible en varios colores.",,,,19.99,Negro,https://static.pullandbear.net/assets/public/4df0/7105/c98d45aaad71/cf9d64fce859/07678503800-c/07678503800-c.jpg?ts=1720745031869&w=106&f=auto,7678/503,07678503,1030204719,In stock,Negro,Pantalón,Blanco,Modelo
Pantalón chándal baggy,https://www.pullandbear.com/es/pantalon-chandal-baggy-l07679500?cS=800&pelement=662027211,https://static.pullandbear.net/assets/public/e06b/03f4/dc144853805a/a911414a9f29/07679501800-A7M/07679501800-A7M.jpg?ts=1726492132412&w=438&f=auto,https://static.pullandbear.net/assets/public/b0ae/fcd8/d8774655b3bf/b5db050ebcd0/07679501800-M/07679501800-M.jpg?ts=1726483079106&w=438&f=auto,22.99,"Pantalón de chándal jogger de corte baggy, con detalle de logo engomado, bolsillos laterales, cintura elástica con cordón y confeccionada en algodón.",,,,22.99,Negro,https://static.pullandbear.net/assets/public/d940/3332/49f24edcb4be/7fbe6053ef5f/07679501800-C/07679501800-C.jpg?ts=1725367908600&w=106&f=auto,7679/500,07679500,1030204719,In stock,Negro,Pantalón,Otro color,Modelo
Pantalón jogger cargo,https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678505?cS=800&pelement=662026866,https://static.pullandbear.net/assets/public/713a/573e/52de43e48b3b/8640d9f2bff5/07678505800-M/07678505800-M.jpg?ts=1722865781423&w=438&f=auto,https://static.pullandbear.net/assets/public/3303/345d/ef704deda128/6fcbf0c0e6e9/07678505800-A2M/07678505800-A2M.jpg?ts=1722870598599&w=438&f=auto,35.99,"Pantalón jogger cargo con diseño de multibolsillos de solapa en pernera, cintura elástica con cordón ajustable y bajos elásticos.",,,,35.99,Negro,https://static.pullandbear.net/assets/public/e6eb/3600/bbb64397adfa/93787acdb855/07678505800-C/07678505800-C.jpg?ts=1719938111422&w=106&f=auto,7678/505,07678505,1030204719,In stock,Negro,Pantalón,Blanco,Modelo
Pantalón chándal STWD,https://www.pullandbear.com/es/pantalon-chandal-stwd-l07678506?cS=800&pelement=662026662,https://static.pullandbear.net/assets/public/5af8/5613/96164471a3e2/eaef4a9002ed/07678506800-A1M/07678506800-A1M.jpg?ts=1724661479134&w=438&f=auto,https://static.pullandbear.net/assets/public/d982/dff6/f8f4439ebf18/27ab38d5cc8b/07678506800-M/07678506800-M.jpg?ts=1724661498765&w=438&f=auto,19.99,"Pantalón jogger chándal STWD con cintura elástica con cordón, bolsillos y en tejido fleece.",,,,19.99,Negro,,7678/506,07678506,1030204719,Out of Stock,Negro,Pantalón,Blanco,Modelo
Pantalón chándal técnico,https://www.pullandbear.com/es/pantalon-chandal-tecnico-l07678503?cS=711&pelement=662021368,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7678/503/711/7678503711_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718024511628&w=438&f=auto,https://static.pullandbear.net/assets/public/f880/13e8/1b8d4d6b9243/19fa07763736/07678503711-A2M/07678503711-A2M.jpg?ts=1718024500811&w=438&f=auto,19.99,"Pantalón jogger chándal técnico en tejido interlock elástico, con bolsillos laterales con cremallera, cintura elástica con cordón y disponible en varios colores.",,,,19.99,Arena,https://static.pullandbear.net/assets/public/3f27/8d97/69754f3aa7e2/d58b620fd796/07678503711-c/07678503711-c.jpg?ts=1720745031458&w=106&f=auto,7678/503,07678503,1030204719,In stock,Marrón claro,Pantalón,Blanco,Modelo
