product_name,url,image1_url,image2_url,product_price,description,sale_price,old_price,original_price,current_price,color,image_url,mpn,reference_code,category_id,Stock Status,color_homogeneizado,Categoria,Tag_1,Tag_2,Tag_3
Camiseta Thomas Lélu,https://www.pullandbear.com/es/camiseta-thomas-lelu-l03245574?cS=250&pelement=666364799,https://static.pullandbear.net/assets/public/d92c/88b5/2e814173b7e2/be4a6666190c/03245574250-E/03245574250-E.jpg?ts=1738239967046&w=438&f=auto,https://static.pullandbear.net/assets/public/03a7/8b2c/53174727adde/d69416dce2da/03245574250-a6m/03245574250-a6m.jpg?ts=1737126117201&w=438&f=auto,17.99,"Camiseta blanca de manga corta licencia Thomas Lélu, con texto en contraste, cuello redondo y confeccionada en algodón.",,,,17.99,Blanco,https://static.pullandbear.net/assets/public/4901/f082/51cc482987b2/be3f58e5ffba/03245574250-C/03245574250-C.jpg?ts=1737126113250&w=106&f=auto,3245/574,3245574.0,1030139501.0,In stock,Blanco,Camiseta,Formal,Estampado,Rasgado
Camiseta Peanuts blanca,https://www.pullandbear.com/es/camiseta-peanuts-blanca-l03245567?cS=251&pelement=666024681,https://static.pullandbear.net/assets/public/7f11/7346/61e64465bbf5/8d7b97afb04c/03245567251-A20M/03245567251-A20M.jpg?ts=1736956390732&w=438&f=auto,https://static.pullandbear.net/assets/public/db1e/63eb/93d24fde8669/3f923896a617/03245567251-M/03245567251-M.jpg?ts=1737995244977&w=438&f=auto,15.99,"Camiseta licencia Peanuts de color blanco con gráfico de Snoopy y tenis en la parte delantera y en la espalda, con cuello redondo y de manga corta.",,,,15.99,Blanco roto,https://static.pullandbear.net/assets/public/359e/26c9/96bb49eab470/d514e9e0ea02/03245567251-c/03245567251-c.jpg?ts=1736956431998&w=106&f=auto,3245/567,3245567.0,1030139501.0,In stock,Blanco,Camiseta,Estampado,Sin mangas,Manga corta
Polo Peanuts rayas,https://www.pullandbear.com/es/polo-peanuts-rayas-l03245565?cS=104&pelement=666024683,https://static.pullandbear.net/assets/public/0e4d/b0fd/f57149cab7c0/3ac58db633b7/03245565104-a6m/03245565104-a6m.jpg?ts=1737994809867&w=438&f=auto,https://static.pullandbear.net/assets/public/bb92/e9ba/43db47379b5d/307d8bdfc4f8/03245565104-M/03245565104-M.jpg?ts=1737994810899&w=438&f=auto,22.99,"Polo licencia Peanuts con diseño a rayas, de manga larga, con detalle de botones en el cuello y confeccionado en mezcla de algodón.",,,,22.99,Rayas,https://static.pullandbear.net/assets/public/5ddc/dcf3/515e40868efa/c4ec55e7f034/03245565104-C/03245565104-C.jpg?ts=1736338563065&w=106&f=auto,3245/565,3245565.0,1030139501.0,In stock,Multicolor,Polo,Minimalista,Manga corta,Manga larga
Camiseta Peanuts verde,https://www.pullandbear.com/es/camiseta-peanuts-verde-l03245566?cS=500&pelement=666024682,https://static.pullandbear.net/assets/public/3779/636a/998a4fad9352/db14e246cbf9/03245566500-a20m/03245566500-a20m.jpg?ts=1735837221378&w=438&f=auto,https://static.pullandbear.net/assets/public/4c57/9930/67034c5e9a54/727e4248b642/03245566500-M/03245566500-M.jpg?ts=1737994810136&w=438&f=auto,15.99,"Camiseta licencia Peanuts de color verde con gráfico de Snoopy y tenis en la espalda, con cuello redondo y de manga corta.",,,,15.99,Verde,https://static.pullandbear.net/assets/public/25f7/03df/1d734da19d68/78d835f3e2b9/03245566500-c/03245566500-c.jpg?ts=1735837228026&w=106&f=auto,3245/566,3245566.0,1030139501.0,In stock,Verde,Camiseta,Joggers,Cargo,Standard
Camiseta boxy,https://www.pullandbear.com/es/camiseta-boxy-l03248501?cS=800&pelement=662031893,https://static.pullandbear.net/assets/public/a7fc/c749/14e24b92b537/6cbe04cf95d3/03248501800-a6m/03248501800-a6m.jpg?ts=1737725504088&w=438&f=auto,https://static.pullandbear.net/assets/public/764c/aacc/83954e03b454/095351bc98d5/03248501800-m/03248501800-m.jpg?ts=1737992580094&w=438&f=auto,12.99,Camiseta boxy de manga corta con cuello redondo y en tejido interlock.,,,,12.99,Negro,https://static.pullandbear.net/assets/public/f44b/9daa/ac2742219765/e5b39e5b79c1/03248501800-C/03248501800-C.jpg?ts=1737725513119&w=106&f=auto,3248/501,3248501.0,1030204791.0,In stock,Negro,Camiseta,Bohemio,Slim,Color oscuro
Camiseta boxy,https://www.pullandbear.com/es/camiseta-boxy-l03248501?cS=250&pelement=662031895,https://static.pullandbear.net/assets/public/713a/b95e/dde4425f8d31/ba814c00b07f/03248501250-a6m/03248501250-a6m.jpg?ts=1737725502397&w=438&f=auto,https://static.pullandbear.net/assets/public/4ec6/50df/1ecd47edaa43/fce7540e2c91/03248501250-m/03248501250-m.jpg?ts=1737992584310&w=438&f=auto,12.99,Camiseta boxy de manga corta con cuello redondo y en tejido interlock.,,,,12.99,Blanco,https://static.pullandbear.net/assets/public/3f1a/34b4/09c44910a1d2/c1003fcaf1a4/03248501250-C/03248501250-C.jpg?ts=1737725499510&w=106&f=auto,3248/501,3248501.0,1030204791.0,In stock,Blanco,Camiseta,Oversize,Manga corta,Streetwear
Camiseta boxy,https://www.pullandbear.com/es/camiseta-boxy-l03248501?cS=401&pelement=662031892,https://static.pullandbear.net/assets/public/f3f6/54dc/75a3458ab4a2/20d88a3499e3/03248501401-a6m/03248501401-a6m.jpg?ts=1737725504387&w=438&f=auto,https://static.pullandbear.net/assets/public/8f23/0b60/ba274210a1f5/19e35ef0e737/03248501401-m/03248501401-m.jpg?ts=1737992582182&w=438&f=auto,12.99,Camiseta boxy de manga corta con cuello redondo y en tejido interlock.,,,,12.99,Marino,https://static.pullandbear.net/assets/public/3dd0/6c8d/6caf4fe9a386/c2dd0baf4e6c/03248501401-C/03248501401-C.jpg?ts=1737725505449&w=106&f=auto,3248/501,3248501.0,1030204791.0,In stock,Azul,Camiseta,Estampado,Manga larga,Clásico
Camiseta boxy,https://www.pullandbear.com/es/camiseta-boxy-l03248501?cS=802&pelement=662031894,https://static.pullandbear.net/assets/public/6fa9/f985/f2f24dd9bdd5/69b93e44cb9f/03248501802-a6m/03248501802-a6m.jpg?ts=1737725513535&w=438&f=auto,https://static.pullandbear.net/assets/public/a78d/3da2/a4344fc19aa1/6a0952031b51/03248501802-m/03248501802-m.jpg?ts=1737992580412&w=438&f=auto,12.99,Camiseta boxy de manga corta con cuello redondo y en tejido interlock.,,,,12.99,Gris,https://static.pullandbear.net/assets/public/2475/5188/0ff44a49a9d9/4a7375cffc4a/03248501802-C/03248501802-C.jpg?ts=1737725504702&w=106&f=auto,3248/501,3248501.0,1030204791.0,In stock,Gris,Camiseta,Baggy,Joggers,Color claro
Camiseta Sakamoto Store,https://www.pullandbear.com/es/camiseta-sakamoto-store-l03245539?cS=251&pelement=664248899,https://static.pullandbear.net/assets/public/8ad8/702c/0e514873ad8e/322ab7170c82/03245539251-A7M/03245539251-A7M.jpg?ts=1737451015490&w=438&f=auto,https://static.pullandbear.net/assets/public/c2c6/cb17/dde04076b91f/aa053417af0f/03245539251-M/03245539251-M.jpg?ts=1736936971866&w=438&f=auto,17.99,"Camiseta blanca licencia Sakamoto con gráfico, cuello redondo y manga corta, confeccionada en algodón.",,,,17.99,Blanco roto,https://static.pullandbear.net/assets/public/0fd2/ff58/846e41ef8871/b535f2d57d74/03245539251-C/03245539251-C.jpg?ts=1737122642957&w=106&f=auto,3245/539,3245539.0,1030139501.0,In stock,Blanco,Camiseta,Manga corta,Ajustado,Color oscuro
Camiseta gráfico Chill Vibes,https://www.pullandbear.com/es/camiseta-grafico-chill-vibes-l03245534?cS=251&pelement=662021505,https://static.pullandbear.net/assets/public/b4a1/144f/c265495994ce/5d11c7da6c67/03245534251-a6m/03245534251-a6m.jpg?ts=1733910503166&w=438&f=auto,https://static.pullandbear.net/assets/public/9a0b/a5fa/40ed45658bc3/b669853d83e0/03245534251-M/03245534251-M.jpg?ts=1736509324946&w=438&f=auto,12.99,"Camiseta de manga corta con gráfico Chill Vibes, con cuello redondo y confeccionada en algodón.",,,,12.99,Blanco roto,https://static.pullandbear.net/assets/public/ee4c/d498/6b1c45fd9472/c8880d97b487/03245534251-C/03245534251-C.jpg?ts=1733910505704&w=106&f=auto,3245/534,3245534.0,1030204791.0,In stock,Blanco,Camiseta,Straight,Deportivo,Color claro
