product_name,url,image1_url,image2_url,product_price,description,sale_price,old_price,original_price,current_price,color,image_url,mpn,reference_code,category_id,Stock Status,color_homogeneizado,Categoria
Camiseta Sakamoto Store,https://www.pullandbear.com/es/camiseta-sakamoto-store-l03245539?cS=251&pelement=664248899,https://static.pullandbear.net/assets/public/8ad8/702c/0e514873ad8e/322ab7170c82/03245539251-A7M/03245539251-A7M.jpg?ts=1737451015490&w=438&f=auto,https://static.pullandbear.net/assets/public/c2c6/cb17/dde04076b91f/aa053417af0f/03245539251-M/03245539251-M.jpg?ts=1736936971866&w=438&f=auto,17.99,"Camiseta blanca licencia Sakamoto con gráfico, cuello redondo y manga corta, confeccionada en algodón.",,,,17.99,Blanco roto,https://static.pullandbear.net/assets/public/0fd2/ff58/846e41ef8871/b535f2d57d74/03245539251-C/03245539251-C.jpg?ts=1737122642957&w=106&f=auto,3245/539,03245539,1030139501,In stock,Blanco,Camiseta
Camiseta Honda,https://www.pullandbear.com/es/camiseta-honda-l03245519?cS=250&pelement=662026632,https://static.pullandbear.net/assets/public/55bb/6261/d9394424abbc/4c977fa35689/03245519250-A7M/03245519250-A7M.jpg?ts=1737448630515&w=438&f=auto,https://static.pullandbear.net/2/photos//2025/V/0/2/p/3245/519/250/3245519250_4_1_8.jpg?t=1736771819075&w=438&f=auto,15.99,"Camiseta de manga corta blanca y cuello redondo de la licencia Honda, con gráfico en la parte frontal y print temática en la parte trasera, confeccionado en tejido 100% algodón.",,,,15.99,Blanco,https://static.pullandbear.net/assets/public/720a/4211/18da4b419e67/2372f43dad03/03245519250-C/03245519250-C.jpg?ts=1733134664861&w=106&f=auto,3245/519,03245519,1030139501,In stock,Blanco,Camiseta
Camiseta básica muscle fit,https://www.pullandbear.com/es/camiseta-basica-muscle-fit-l03245502?cS=250&pelement=662027499,https://static.pullandbear.net/assets/public/4183/f5bb/6c0241c5baaf/7861afad16f0/08247599250-e/08247599250-e.jpg?ts=1724670179707&w=438&f=auto,https://static.pullandbear.net/assets/public/fe35/8e52/8a5c4edcb1e4/be045ffb173e/08247599250-M/08247599250-M.jpg?ts=1724661857402&w=438&f=auto,7.99,"MUSCLE FIT. Camiseta básica de manga corta, con cuello redondo, disponible en varios colores lisos y confeccionada en 100% algodón.",,,,7.99,Blanco,https://static.pullandbear.net/assets/public/4d5f/a9d5/e06f4100b898/91ae2b47dddc/03241501250-C/03241501250-C.jpg?ts=1720022564953&w=106&f=auto,3245/502,03245502,1030204791,In stock,Blanco,Camiseta
Camiseta básica muscle fit,https://www.pullandbear.com/es/camiseta-basica-muscle-fit-l03245502?cS=800&pelement=662027498,https://static.pullandbear.net/assets/public/3382/614f/74bc4073947f/b5b20bd5f978/03241501800-A6M/03241501800-A6M.jpg?ts=1720022578502&w=438&f=auto,https://static.pullandbear.net/assets/public/54c5/abb5/a0eb4ae2898c/f72b6e804da2/03241501800-M/03241501800-M.jpg?ts=1724660154383&w=438&f=auto,7.99,"MUSCLE FIT. Camiseta básica de manga corta, con cuello redondo, disponible en varios colores lisos y confeccionada en 100% algodón.",,,,7.99,Negro,https://static.pullandbear.net/assets/public/06cd/9198/8ffc461cb421/ac347de161c5/03241501800-C/03241501800-C.jpg?ts=1720022582518&w=106&f=auto,3245/502,03245502,1030204791,In stock,Negro,Camiseta
Camiseta básica muscle fit,https://www.pullandbear.com/es/camiseta-basica-muscle-fit-l03245502?cS=500&pelement=662027497,https://static.pullandbear.net/assets/public/85c9/86f3/de9047e58ded/42f8e0892d1f/07249504500-A6M/07249504500-A6M.jpg?ts=1718615439501&w=438&f=auto,https://static.pullandbear.net/assets/public/3bcc/3dd7/89af43d987b5/201c9db41189/07249504500-M/07249504500-M.jpg?ts=1724660520712&w=438&f=auto,7.99,"MUSCLE FIT. Camiseta básica de manga corta, con cuello redondo, disponible en varios colores lisos y confeccionada en 100% algodón.",,,,7.99,Verde,https://static.pullandbear.net/assets/public/eccb/0caa/fa7e4088b8bf/6e4d77d30bd6/07249504500-C/07249504500-C.jpg?ts=1718615440360&w=106&f=auto,3245/502,03245502,1030204791,In stock,Verde,Camiseta
Camiseta Peanuts blanca,https://www.pullandbear.com/es/camiseta-peanuts-blanca-l03245567?cS=251&pelement=666024681,https://static.pullandbear.net/assets/public/6df7/4cf2/7d9249ccba91/14d8a3935de5/03245567251-A7M/03245567251-A7M.jpg?ts=1738656611701&w=438&f=auto,https://static.pullandbear.net/assets/public/db1e/63eb/93d24fde8669/3f923896a617/03245567251-M/03245567251-M.jpg?ts=1737995244977&w=438&f=auto,15.99,"Camiseta licencia Peanuts de color blanco con gráfico de Snoopy y tenis en la parte delantera y en la espalda, con cuello redondo y de manga corta.",,,,15.99,Blanco roto,https://static.pullandbear.net/assets/public/359e/26c9/96bb49eab470/d514e9e0ea02/03245567251-c/03245567251-c.jpg?ts=1736956431998&w=106&f=auto,3245/567,03245567,1030139501,In stock,Blanco,Camiseta
Camiseta logo STWD,https://www.pullandbear.com/es/camiseta-logo-stwd-l03245500?cS=800&pelement=662014525,https://static.pullandbear.net/assets/public/b532/55f1/abea4a078234/06537cb426a4/03244545800-A20M/03244545800-A20M.jpg?ts=1720013368340&w=438&f=auto,https://static.pullandbear.net/assets/public/8638/980d/721746149679/d3a87ec0d22d/03248500800-M/03248500800-M.jpg?ts=1738683232549&w=438&f=auto,14.99,"Camiseta con logo STWD bordado, diseño de manga corta y cuello redondo, detalle de etiqueta en el bajo y confeccionada en tejido de 100% algodón.",,,,14.99,Negro,https://static.pullandbear.net/assets/public/98ba/0937/894e45e3b48e/e9cdecc279e6/03244545800-C/03244545800-C.jpg?ts=1720013312536&w=106&f=auto,3245/500,03245500,1030204791,In stock,Negro,Camiseta
Camiseta logo STWD,https://www.pullandbear.com/es/camiseta-logo-stwd-l03245500?cS=250&pelement=662014529,https://static.pullandbear.net/assets/public/d97d/80c4/77eb459fa67c/0eb30a10aa87/07241545250-A20M/07241545250-A20M.jpg?ts=1724150858535&w=438&f=auto,https://static.pullandbear.net/assets/public/829d/e04c/81134b13ba51/30dac24db892/03248500250-M/03248500250-M.jpg?ts=1738683230346&w=438&f=auto,14.99,"Camiseta con logo STWD bordado, diseño de manga corta y cuello redondo, detalle de etiqueta en el bajo y confeccionada en tejido de 100% algodón.",,,,14.99,Blanco,https://static.pullandbear.net/assets/public/5547/a640/4f234ec68bc9/3fb0391bca67/07241545250-C/07241545250-C.jpg?ts=1724150859553&w=106&f=auto,3245/500,03245500,1030204791,In stock,Blanco,Camiseta
Camiseta Thomas Lélu,https://www.pullandbear.com/es/camiseta-thomas-lelu-l03245574?cS=250&pelement=666364799,https://static.pullandbear.net/assets/public/dcad/3cf7/d3dd4b80867a/c0dbb3a902b1/03245574250-A1M/03245574250-A1M.jpg?ts=1738245813229&w=438&f=auto,https://static.pullandbear.net/assets/public/d92c/88b5/2e814173b7e2/be4a6666190c/03245574250-E/03245574250-E.jpg?ts=1738239967046&w=438&f=auto,17.99,"Camiseta blanca de manga corta licencia Thomas Lélu, con texto en contraste, cuello redondo y confeccionada en algodón.",,,,17.99,Blanco,https://static.pullandbear.net/assets/public/4901/f082/51cc482987b2/be3f58e5ffba/03245574250-C/03245574250-C.jpg?ts=1737126113250&w=106&f=auto,3245/574,03245574,1030139501,In stock,Blanco,Camiseta
Camiseta NFL Kansas City Chiefs,https://www.pullandbear.com/es/camiseta-nfl-kansas-city-chiefs-l03245511?cS=251&pelement=662014683,https://static.pullandbear.net/2/photos//2024/I/0/2/p/3245/511/251/3245511251_2_20_0.jpg?imwidth=%3Awidth%3A&ts=1730276413982&w=438&f=auto,https://static.pullandbear.net/assets/public/453c/7a2e/e4e74f57b9a0/fb0b97e6d32c/03245511251-M/03245511251-M.jpg?ts=1737714079201&w=438&f=auto,25.99,"Camiseta NFL con gráfico Kansas City Chiefs en contraste, cuello de pico y de manga corta.",,,,25.99,Blanco roto,https://static.pullandbear.net/2/photos//2024/I/0/2/p/3245/511/251/3245511251_1_1_0.jpg?imwidth=%3Awidth%3A&ts=1730276411225&w=106&f=auto,3245/511,03245511,1030139501,In stock,Blanco,Camiseta
Sudadera manga corta Cupido y Psique,https://www.pullandbear.com/es/sudadera-manga-corta-cupido-y-psique-l03594529?cS=800&pelement=662020986,https://static.pullandbear.net/assets/public/70b8/5913/0a444aec8ffd/f5feebb36a63/03594529800-A20M/03594529800-A20M.jpg?ts=1731428340541&w=438&f=auto,https://static.pullandbear.net/assets/public/db97/de77/22e748cd8076/213f2e600a83/03594529800-M/03594529800-M.jpg?ts=1731938813089&w=438&f=auto,22.99,"Sudadera de manga corta con gráfico de Cupido y Psique, con cuello redondo y confeccionada en algodón.",,,,22.99,Negro,https://static.pullandbear.net/assets/public/49e9/70e7/da164cdc8676/cceaaf81a03e/03594529800-C/03594529800-C.jpg?ts=1732016715787&w=106&f=auto,3594/529,03594529,1030139501,In stock,Negro,Camiseta
Camiseta gráfico Chill Vibes,https://www.pullandbear.com/es/camiseta-grafico-chill-vibes-l03245534?cS=251&pelement=662021505,https://static.pullandbear.net/assets/public/b4a1/144f/c265495994ce/5d11c7da6c67/03245534251-a6m/03245534251-a6m.jpg?ts=1733910503166&w=438&f=auto,https://static.pullandbear.net/assets/public/9a0b/a5fa/40ed45658bc3/b669853d83e0/03245534251-M/03245534251-M.jpg?ts=1736509324946&w=438&f=auto,12.99,"Camiseta de manga corta con gráfico Chill Vibes, con cuello redondo y confeccionada en algodón.",,,,12.99,Blanco roto,https://static.pullandbear.net/assets/public/ee4c/d498/6b1c45fd9472/c8880d97b487/03245534251-C/03245534251-C.jpg?ts=1733910505704&w=106&f=auto,3245/534,03245534,1030204791,In stock,Blanco,Camiseta
Camiseta Bialetti blanca,https://www.pullandbear.com/es/camiseta-bialetti-blanca-l03248537?cS=250&pelement=671656858,https://static.pullandbear.net/assets/public/f23a/9655/dc8c45128426/a58f492ea12a/03248537250-A7M/03248537250-A7M.jpg?ts=1738829664030&w=438&f=auto,https://static.pullandbear.net/assets/public/d5dd/9f2c/10bf4f1b91b9/9c11c9dc0109/03248537250-M/03248537250-M.jpg?ts=1738573514599&w=438&f=auto,15.99,"Camiseta blanca licencia Bialetti con bordado de cafetera Moka Express en la parte delantera y gráfico en la espalda, cuello redondo y de manga corta.",,,,15.99,Blanco,https://static.pullandbear.net/assets/public/5e75/7b8c/15b24da893b6/abb5e328a187/03248537250-C/03248537250-C.jpg?ts=1737725508815&w=106&f=auto,3248/537,03248537,1030139501,In stock,Blanco,Camiseta
Pack bermuda y camiseta básica,https://www.pullandbear.com/es/pack-bermuda-y-camiseta-basica-l03241999?cS=807&pelement=662014838,https://static.pullandbear.net/assets/public/5d44/de24/62d74c469e95/57f17d307588/03241999807-A6M/03241999807-A6M.jpg?ts=1718092485163&w=438&f=auto,https://static.pullandbear.net/assets/public/a8c5/d534/fdad4d708cfd/8fe13fd8a553/03241999807-M/03241999807-M.jpg?ts=1738850726281&w=438&f=auto,19.99,Pack de bermuda y camiseta básicas disponible en varios tonos.,,,,19.99,Gris antracita,https://static.pullandbear.net/assets/public/7e7d/addd/eb004d8195f9/78fdfb817894/03241999807-C/03241999807-C.jpg?ts=1718092472899&w=106&f=auto,3241/999,03241999,1030204713,In stock,Gris,Pack
Camiseta Peanuts verde,https://www.pullandbear.com/es/camiseta-peanuts-verde-l03245566?cS=500&pelement=666024682,https://static.pullandbear.net/assets/public/3779/636a/998a4fad9352/db14e246cbf9/03245566500-a20m/03245566500-a20m.jpg?ts=1735837221378&w=438&f=auto,https://static.pullandbear.net/assets/public/4c57/9930/67034c5e9a54/727e4248b642/03245566500-M/03245566500-M.jpg?ts=1737994810136&w=438&f=auto,15.99,"Camiseta licencia Peanuts de color verde con gráfico de Snoopy y tenis en la espalda, con cuello redondo y de manga corta.",,,,15.99,Verde,https://static.pullandbear.net/assets/public/25f7/03df/1d734da19d68/78d835f3e2b9/03245566500-c/03245566500-c.jpg?ts=1735837228026&w=106&f=auto,3245/566,03245566,1030139501,In stock,Verde,Camiseta
