Product Name,url,Image 1 URL,Image 2 URL,description,sale_price,old_price,original_price,current_price,color,image_url,mpn,reference_code,category_id,Stock Status,Categoria,color_homogeneizado,style_tags
Camiseta Honda,https://www.pullandbear.com/es/camiseta-honda-l03245519?cS=250&pelement=662026632,https://static.pullandbear.net/assets/public/1220/13fe/1b5b4b0b8f63/d3f128bdc1b7/03245519250-A20M/03245519250-A20M.jpg?ts=1733134631549&w=438&f=auto,https://static.pullandbear.net/2/photos//2025/V/0/2/p/3245/519/250/3245519250_4_1_8.jpg?t=1736771819075&w=438&f=auto,"Camiseta de manga corta blanca y cuello redondo de la licencia Honda, con gráfico en la parte frontal y print temática en la parte trasera, confeccionado en tejido 100% algodón.",,,,15.99,Blanco,https://static.pullandbear.net/assets/public/720a/4211/18da4b419e67/2372f43dad03/03245519250-C/03245519250-C.jpg?ts=1733134664861&w=106&f=auto,3245/519,3245519.0,1030139501.0,In Stock,Camiseta,Blanco,Casual
Camiseta básica muscle fit,https://www.pullandbear.com/es/camiseta-basica-muscle-fit-l03245502?cS=800&pelement=662027498,https://static.pullandbear.net/assets/public/3382/614f/74bc4073947f/b5b20bd5f978/03241501800-A6M/03241501800-A6M.jpg?ts=1720022578502&w=438&f=auto,https://static.pullandbear.net/assets/public/54c5/abb5/a0eb4ae2898c/f72b6e804da2/03241501800-M/03241501800-M.jpg?ts=1724660154383&w=438&f=auto,"MUSCLE FIT. Camiseta básica de manga corta, con cuello redondo, disponible en varios colores lisos y confeccionada en 100% algodón.",,,,7.99,Negro,https://static.pullandbear.net/assets/public/06cd/9198/8ffc461cb421/ac347de161c5/03241501800-C/03241501800-C.jpg?ts=1720022582518&w=106&f=auto,3245/502,3245502.0,1030204791.0,In Stock,Camiseta,Negro,"Casual, Básica"
Camiseta básica muscle fit,https://www.pullandbear.com/es/camiseta-basica-muscle-fit-l03245502?cS=250&pelement=662027499,https://static.pullandbear.net/assets/public/a697/455a/81684e9ab7ec/d006bbfe967b/03241501250-A6M/03241501250-A6M.jpg?ts=1720022562270&w=438&f=auto,https://static.pullandbear.net/assets/public/fe35/8e52/8a5c4edcb1e4/be045ffb173e/08247599250-M/08247599250-M.jpg?ts=1724661857402&w=438&f=auto,"MUSCLE FIT. Camiseta básica de manga corta, con cuello redondo, disponible en varios colores lisos y confeccionada en 100% algodón.",,,,7.99,Blanco,https://static.pullandbear.net/assets/public/4d5f/a9d5/e06f4100b898/91ae2b47dddc/03241501250-C/03241501250-C.jpg?ts=1720022564953&w=106&f=auto,3245/502,3245502.0,1030204791.0,In Stock,Camiseta,Blanco,"Casual, Básica"
Camiseta logo STWD,https://www.pullandbear.com/es/camiseta-logo-stwd-l03245500?cS=800&pelement=662014525,https://static.pullandbear.net/assets/public/b532/55f1/abea4a078234/06537cb426a4/03244545800-A20M/03244545800-A20M.jpg?ts=1720013368340&w=438&f=auto,https://static.pullandbear.net/assets/public/d1e9/484c/d92546b3a70d/01088ffc7fdf/07245545800-M/07245545800-M.jpg?ts=1724854124500&w=438&f=auto,"Camiseta con logo STWD bordado, diseño de manga corta y cuello redondo, detalle de etiqueta en el bajo y confeccionada en tejido de 100% algodón.",,,,14.99,Negro,https://static.pullandbear.net/assets/public/98ba/0937/894e45e3b48e/e9cdecc279e6/03244545800-C/03244545800-C.jpg?ts=1720013312536&w=106&f=auto,3245/500,3245500.0,1030204791.0,In Stock,Camiseta,Negro,"Casual, Logo"
Camiseta logo STWD,https://www.pullandbear.com/es/camiseta-logo-stwd-l03245500?cS=250&pelement=662014529,https://static.pullandbear.net/assets/public/d97d/80c4/77eb459fa67c/0eb30a10aa87/07241545250-A20M/07241545250-A20M.jpg?ts=1724150858535&w=438&f=auto,https://static.pullandbear.net/assets/public/9c61/d10d/5f664f5d9d9f/ffa820358968/07245545250-M/07245545250-M.jpg?ts=1724854078469&w=438&f=auto,"Camiseta con logo STWD bordado, diseño de manga corta y cuello redondo, detalle de etiqueta en el bajo y confeccionada en tejido de 100% algodón.",,,,14.99,Blanco,https://static.pullandbear.net/assets/public/5547/a640/4f234ec68bc9/3fb0391bca67/07241545250-C/07241545250-C.jpg?ts=1724150859553&w=106&f=auto,3245/500,3245500.0,1030204791.0,In Stock,Camiseta,Blanco,"Casual, Logo"
Camiseta Donald Duck,https://www.pullandbear.com/es/camiseta-donald-duck-l03245528?cS=401&pelement=662014157,https://static.pullandbear.net/assets/public/96d1/5a72/a88549129165/9378222484f6/03245528401-a20m/03245528401-a20m.jpg?ts=1730816006900&w=438&f=auto,https://static.pullandbear.net/assets/public/d8a1/5bfc/80124e7fa0d0/91ff6c8c9baa/03245528401-M/03245528401-M.jpg?ts=1731074818091&w=438&f=auto,"Camiseta licencia Disney con gráfico &#39;Donald Duck&#39;, de manga corta, con cuello redondo y confeccionada en algodón.",,,,15.99,Marino,https://static.pullandbear.net/assets/public/be1c/15f5/104643509fec/0e92481db7e7/03245528401-C/03245528401-C.jpg?ts=1730816009425&w=106&f=auto,3245/528,3245528.0,1030139501.0,In Stock,Camiseta,Azul,Casual
Camiseta básica manga corta algodón,https://www.pullandbear.com/es/camiseta-basica-manga-corta-algodon-l03245501?cS=802&pelement=667097050,https://static.pullandbear.net/assets/public/3eba/9c94/a7d748e1a8b5/3b81e23fed4e/03245501802-E/03245501802-E.jpg?ts=1733734624354&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/4238/500/802/4238500802_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1710169292851&w=438&f=auto,"Camiseta básica de manga corta, con cuello redondo y en tejido 100% algodón.",,,,7.99,Gris,https://static.pullandbear.net/2/photos//2024/V/0/2/p/4238/500/802/4238500802_1_1_0.jpg?imwidth=%3Awidth%3A&ts=1708085703988&w=106&f=auto,3245/501,3245501.0,1030204791.0,In Stock,Camiseta,Gris,"Casual, Básica"
Camiseta básica manga corta algodón,https://www.pullandbear.com/es/camiseta-basica-manga-corta-algodon-l03245501?cS=250&pelement=662026835,https://static.pullandbear.net/assets/public/58a2/933d/dcf745ab96c9/03480ca0aad8/03244500250-A6M/03244500250-A6M.jpg?ts=1724150905579&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/4238/500/250/4238500250_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1715846881916&w=438&f=auto,"Camiseta básica de manga corta, con cuello redondo y en tejido 100% algodón.",,,,7.99,Blanco,https://static.pullandbear.net/assets/public/871e/9cac/70224bbcb135/966290abd68d/03244500250-C/03244500250-C.jpg?ts=1724150913281&w=106&f=auto,3245/501,3245501.0,1030204791.0,In Stock,Camiseta,Blanco,"Casual, Básica"
Camiseta básica manga corta algodón,https://www.pullandbear.com/es/camiseta-basica-manga-corta-algodon-l03245501?cS=800&pelement=662026834,https://static.pullandbear.net/assets/public/7ad3/66d3/dfb94b9190b6/299441cb3964/03244500800-A6M/03244500800-A6M.jpg?ts=1721854115149&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/4238/500/800/4238500800_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1710168836786&w=438&f=auto,"Camiseta básica de manga corta, con cuello redondo y en tejido 100% algodón.",,,,7.99,Negro,https://static.pullandbear.net/assets/public/df2e/4c69/66c94dc6a9c8/065f3ecbc351/03244500800-C/03244500800-C.jpg?ts=1721854116337&w=106&f=auto,3245/501,3245501.0,1030204791.0,In Stock,Camiseta,Negro,"Casual, Básica"
Camiseta básica manga corta algodón,https://www.pullandbear.com/es/camiseta-basica-manga-corta-algodon-l03245501?cS=712&pelement=663389523,https://static.pullandbear.net/assets/public/1e0b/e48f/66ad47ccb274/76b1bd419c40/03245501712-A6M/03245501712-A6M.jpg?ts=1736518981105&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/4238/500/712/4238500712_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1710168836785&w=438&f=auto,"Camiseta básica de manga corta, con cuello redondo y en tejido 100% algodón.",,,,7.99,Crudo,https://static.pullandbear.net/assets/public/d0c5/6a07/cbd5454ab908/a0e70d090f12/03245501712-C/03245501712-C.jpg?ts=1736518990654&w=106&f=auto,3245/501,3245501.0,1030204791.0,In Stock,Camiseta,Marrón claro,"Casual, Básica"
