product_name,url,image1_url,image2_url,product_price,description,sale_price,old_price,original_price,current_price,color,image_url,mpn,reference_code,category_id,Stock Status,color_homogeneizado,Categoria
Camiseta básica manga corta algodón,https://www.pullandbear.com/es/camiseta-basica-manga-corta-algodon-l03244500?cS=807&pelement=621934210,https://static.pullandbear.net/2/photos//2024/V/0/2/p/4238/500/807/4238500807_2_1_0.jpg?imwidth=%3Awidth%3A&ts=1710169292859&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/4238/500/807/4238500807_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1710169292861&w=438&f=auto,3.99,"Camiseta básica de manga corta, con cuello redondo y en tejido 100% algodón.",3.99,5.99,7.99,3.99,Gris antracita,https://static.pullandbear.net/assets/public/f73a/62e4/234946278c7f/588b48367bce/04238500807-C/04238500807-C.jpg?ts=1724150844513&w=106&f=auto,3244/500,03244500,1030204790,In stock,,
Camiseta print manga corta,https://www.pullandbear.com/es/camiseta-print-manga-corta-l03243587?cS=711&pelement=621956413,https://static.pullandbear.net/assets/public/32de/2845/065f476ba429/20afd565c85e/03243587711-A1M/03243587711-A1M.jpg?ts=1720450959408&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/I/0/2/p/3243/587/711/3243587711_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1720451031230&w=438&f=auto,3.99,"Camiseta con detalle de print, de manga corta y cuello redondo y confeccionada en tejido 100% algodón.",3.99,5.99,12.99,3.99,Arena,https://static.pullandbear.net/assets/public/a4c1/24a2/98614ed19700/394683ec1eee/03243587711-C/03243587711-C.jpg?ts=1719505047523&w=106&f=auto,3243/587,03243587,1030204790,In stock,,
Camiseta Myke Towers,https://www.pullandbear.com/es/camiseta-myke-towers-l03243546?cS=826&pelement=621953678,https://static.pullandbear.net/assets/public/0a92/d9a5/21a04f398f11/d4fa261e2690/03243546826-A1M/03243546826-A1M.jpg?ts=1721802357525&w=438&f=auto,https://static.pullandbear.net/assets/public/370e/b43f/df0f49beab15/f975779fce03/03243546826-M/03243546826-M.jpg?ts=1721802364395&w=438&f=auto,3.99,"Camiseta licencia de Myke Towers con texto de la canción LALA, de manga corta y cuello redondo, confeccionada en tejido 100% algodón.",3.99,7.99,17.99,3.99,Grisáceo,https://static.pullandbear.net/assets/public/ed8b/8ea8/8d544811a996/59c9b040b800/03244529826-C/03244529826-C.jpg?ts=1719505127061&w=106&f=auto,3243/546,03243546,1030139019,In stock,,
Camiseta gráfico leopardo,https://www.pullandbear.com/es/camiseta-grafico-leopardo-l07249541?cS=711&pelement=621953928,https://static.pullandbear.net/assets/public/a36a/52d4/2c7940bb82de/c713b945d10d/07249541711-A1M/07249541711-A1M.jpg?ts=1718017909982&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7249/541/711/7249541711_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718017896763&w=438&f=auto,3.99,"Camiseta beis con gráfico de leopardo, cuello redondo, de manga corta y en tejido efecto lavado.",3.99,7.99,14.99,3.99,Arena,https://static.pullandbear.net/assets/public/b620/147e/391c4e4eb465/431d4091e8f1/07249541711-C/07249541711-C.jpg?ts=1717159874137&w=106&f=auto,7249/541,07249541,1030204790,In stock,,
Camiseta bordado paisley STWD,https://www.pullandbear.com/es/camiseta-bordado-paisley-stwd-l07249508?cS=707&pelement=621948048,https://static.pullandbear.net/assets/public/2262/481b/652d482cb667/371d7fb00b96/07249508707-A1M/07249508707-A1M.jpg?ts=1720715815556&w=438&f=auto,https://static.pullandbear.net/assets/public/951d/3d9e/cf434c259ccb/69556aff80f1/07249508707-M/07249508707-M.jpg?ts=1720715807346&w=438&f=auto,3.99,"Camiseta boxy fit con logo STWD en estampado paisley, de manga corta, con cuello redondo y confeccionada en algodón.",3.99,7.99,14.99,3.99,Tostado,https://static.pullandbear.net/assets/public/6071/b63c/71be446a8671/3ea833d32e48/07249508707-C/07249508707-C.jpg?ts=1718118774613&w=106&f=auto,7249/508,07249508,1030204790,In stock,,
Camiseta STWD escalera flúor,https://www.pullandbear.com/es/camiseta-stwd-escalera-fluor-l07249524?cS=250&pelement=621942639,https://static.pullandbear.net/assets/public/69c0/3371/c8d7477d9eb2/7542fb91dcd6/07249524250-A1M/07249524250-A1M.jpg?ts=1719572891500&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7249/524/250/7249524250_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1719573167684&w=438&f=auto,3.99,"Camiseta STWD de manga corta con gráfico de escalera flúor, texto &#39;Universal future&#39;, cuello redondo y en 100% algodón.",3.99,5.99,12.99,3.99,Blanco,https://static.pullandbear.net/assets/public/d4a1/c252/1f9844b4a939/b32e67ca684d/07249524250-C/07249524250-C.jpg?ts=1717510248875&w=106&f=auto,7249/524,07249524,1030204790,In stock,,
Pack 2 camisetas slim,https://www.pullandbear.com/es/pack-2-camisetas-slim-l07249910?cS=064&pelement=621963137,https://static.pullandbear.net/assets/public/2bda/8305/1a1545d7b265/08d8f44fc18f/07249910064-A1M/07249910064-A1M.jpg?ts=1725268453092&w=438&f=auto,https://static.pullandbear.net/assets/public/0804/4be6/6bc946e1a6af/7ae5d6d75972/07249910064-M/07249910064-M.jpg?ts=1725278018286&w=438&f=auto,3.99,"Pack de 2 camisetas básicas slim fit de manga corta y cuello redondo, confeccionadas en tejido elástico.",3.99,7.99,16.99,3.99,Blanco/Negro,https://static.pullandbear.net/assets/public/e256/74dc/cda746f19f5a/e35488fab0dc/07249910064-C/07249910064-C.jpg?ts=1724771392030&w=106&f=auto,7249/910,07249910,1030204790,In stock,,
Camiseta STWD motor,https://www.pullandbear.com/es/camiseta-stwd-motor-l07249569?cS=600&pelement=625910307,https://static.pullandbear.net/assets/public/e3de/1528/8ef84ea4afeb/1362487d4125/07249569600-A1M/07249569600-A1M.jpg?ts=1722598079777&w=438&f=auto,https://static.pullandbear.net/assets/public/1431/73ab/eaad49a89bbc/d635547ecbd8/07249569600-M/07249569600-M.jpg?ts=1722598069794&w=438&f=auto,3.99,"Camiseta STWD racing con texto de motor, cuello redondo, de manga corta y en 100% algodón efecto lavado.",3.99,5.99,12.99,3.99,Rojo,https://static.pullandbear.net/assets/public/3723/04b5/f0314d0a8c9f/d9dc25849d07/07249569600-C/07249569600-C.jpg?ts=1722584595198&w=106&f=auto,7249/569,07249569,1030204790,In stock,,
Camiseta boxy P&B Black Label,https://www.pullandbear.com/es/camiseta-boxy-pb-black-label-l07248582?cS=505&pelement=621934509,https://static.pullandbear.net/assets/public/a6d2/accb/92eb4fc6a8a1/40013ddb6f1d/07248582505-A1M/07248582505-A1M.jpg?ts=1728491574877&w=438&f=auto,https://static.pullandbear.net/assets/public/ae10/da81/80f44fb096fa/c91ad042060b/07248582505-M/07248582505-M.jpg?ts=1728491588241&w=438&f=auto,3.99,"Camiseta boxy de manga corta, con detalle de bolsillo delantero y confeccionada en algodón.  Colección P&amp;B Black Label",3.99,7.99,15.99,3.99,Caqui,https://static.pullandbear.net/assets/public/92e8/1836/046545769dd6/696985a3734d/07248582505-C/07248582505-C.jpg?ts=1716557345880&w=106&f=auto,7248/582,07248582,1030204790,In stock,,
Camiseta básica manga corta algodón,https://www.pullandbear.com/es/camiseta-basica-manga-corta-algodon-l03244500?cS=807&pelement=621934210,https://static.pullandbear.net/assets/public/e711/d2f1/0f93461a9efe/b2ba29b57287/04238500807-A6M/04238500807-A6M.jpg?ts=1724150841297&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/4238/500/807/4238500807_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1710169292861&w=438&f=auto,3.99,"Camiseta básica de manga corta, con cuello redondo y en tejido 100% algodón.",3.99,5.99,7.99,3.99,Gris antracita,https://static.pullandbear.net/assets/public/f73a/62e4/234946278c7f/588b48367bce/04238500807-C/04238500807-C.jpg?ts=1724150844513&w=106&f=auto,3244/500,03244500,1030204790,In stock,,
