Product Name,url,Image 1 URL,Image 2 URL,current_price_x,description,sale_price,old_price,original_price,current_price_y,color,image_url,mpn,reference_code,category_id,Stock Status,color_homogeneizado,Categoria
Camiseta Sakamoto Store,https://www.pullandbear.com/es/camiseta-sakamoto-store-l03245539?cS=251&pelement=664248899,https://static.pullandbear.net/assets/public/8a3a/75b9/086e48a3a042/d43b060506a2/03245539251-E/03245539251-E.jpg?ts=1737450983270&w=438&f=auto,https://static.pullandbear.net/assets/public/c2c6/cb17/dde04076b91f/aa053417af0f/03245539251-M/03245539251-M.jpg?ts=1736936971866&w=438&f=auto,17.99,"Camiseta blanca licencia Sakamoto con gráfico, cuello redondo y manga corta, confeccionada en algodón.",,,,17.99,Blanco roto,https://static.pullandbear.net/assets/public/0fd2/ff58/846e41ef8871/b535f2d57d74/03245539251-C/03245539251-C.jpg?ts=1737122642957&w=106&f=auto,3245/539,3245539.0,1030139501.0,In Stock,Blanco,Camiseta
Camiseta negra Sakamoto,https://www.pullandbear.com/es/camiseta-negra-sakamoto-l03245918?cS=800&pelement=664248878,https://static.pullandbear.net/assets/public/595d/be1d/30204d9e8961/0eb185c1cb60/03245918800-a20m/03245918800-a20m.jpg?ts=1736339496333&w=438&f=auto,https://static.pullandbear.net/assets/public/c6b5/3d2b/572e47cd984f/c1a8a9d849e0/03245918800-M/03245918800-M.jpg?ts=1736936983473&w=438&f=auto,17.99,"Camiseta licencia Sakamoto de color negro con gráfico en contraste, de manga corta, cuello redondo y confeccionada en algodón.",,,,17.99,Negro,https://static.pullandbear.net/assets/public/884c/5f0d/4e0b4b309431/23ed56de321f/03245918800-C/03245918800-C.jpg?ts=1737122643144&w=106&f=auto,3245/918,3245918.0,1030139501.0,In Stock,Negro,Camiseta
Camiseta Sakamoto Ramen,https://www.pullandbear.com/es/camiseta-sakamoto-ramen-l03245919?cS=251&pelement=664248877,https://static.pullandbear.net/assets/public/2e86/b148/d9ab41f2a669/69b1ca168973/03245919251-A7M/03245919251-A7M.jpg?ts=1737451026113&w=438&f=auto,https://static.pullandbear.net/assets/public/ba8b/3a77/f7084935ad2f/3e5243e72c01/03245919251-M/03245919251-M.jpg?ts=1736936981895&w=438&f=auto,17.99,"Camiseta licencia Sakamoto de color blanco con gráfico de ramen en contraste, cuello redondo y confeccionada en algodón.",,,,17.99,Blanco roto,https://static.pullandbear.net/assets/public/7f9d/9116/4fb74c1bbd85/df4a799a70b2/03245919251-C/03245919251-C.jpg?ts=1736958182099&w=106&f=auto,3245/919,3245919.0,1030139501.0,In Stock,Blanco,Camiseta
Camiseta Honda,https://www.pullandbear.com/es/camiseta-honda-l03245519?cS=250&pelement=662026632,https://static.pullandbear.net/assets/public/fbce/e57b/c23948cc99b3/47fd104c2b16/03245519250-D2/03245519250-D2.jpg?ts=1737448608634&w=438&f=auto,https://static.pullandbear.net/2/photos//2025/V/0/2/p/3245/519/250/3245519250_2_1_8.jpg?t=1736772011274&w=438&f=auto,15.99,"Camiseta de manga corta blanca y cuello redondo de la licencia Honda, con gráfico en la parte frontal y print temática en la parte trasera, confeccionado en tejido 100% algodón.",,,,15.99,Blanco,https://static.pullandbear.net/assets/public/720a/4211/18da4b419e67/2372f43dad03/03245519250-C/03245519250-C.jpg?ts=1733134664861&w=106&f=auto,3245/519,3245519.0,1030139501.0,In Stock,Blanco,Camiseta
Camiseta básica muscle fit,https://www.pullandbear.com/es/camiseta-basica-muscle-fit-l03245502?cS=800&pelement=662027498,https://static.pullandbear.net/assets/public/3382/614f/74bc4073947f/b5b20bd5f978/03241501800-A6M/03241501800-A6M.jpg?ts=1720022578502&w=438&f=auto,https://static.pullandbear.net/assets/public/54c5/abb5/a0eb4ae2898c/f72b6e804da2/03241501800-M/03241501800-M.jpg?ts=1724660154383&w=438&f=auto,7.99,"MUSCLE FIT. Camiseta básica de manga corta, con cuello redondo, disponible en varios colores lisos y confeccionada en 100% algodón.",,,,7.99,Negro,https://static.pullandbear.net/assets/public/06cd/9198/8ffc461cb421/ac347de161c5/03241501800-C/03241501800-C.jpg?ts=1720022582518&w=106&f=auto,3245/502,3245502.0,1030204791.0,In Stock,Negro,Camiseta
Camiseta básica muscle fit,https://www.pullandbear.com/es/camiseta-basica-muscle-fit-l03245502?cS=250&pelement=662027499,https://static.pullandbear.net/assets/public/a697/455a/81684e9ab7ec/d006bbfe967b/03241501250-A6M/03241501250-A6M.jpg?ts=1720022562270&w=438&f=auto,https://static.pullandbear.net/assets/public/fe35/8e52/8a5c4edcb1e4/be045ffb173e/08247599250-M/08247599250-M.jpg?ts=1724661857402&w=438&f=auto,7.99,"MUSCLE FIT. Camiseta básica de manga corta, con cuello redondo, disponible en varios colores lisos y confeccionada en 100% algodón.",,,,7.99,Blanco,https://static.pullandbear.net/assets/public/4d5f/a9d5/e06f4100b898/91ae2b47dddc/03241501250-C/03241501250-C.jpg?ts=1720022564953&w=106&f=auto,3245/502,3245502.0,1030204791.0,In Stock,Blanco,Camiseta
Camiseta logo STWD,https://www.pullandbear.com/es/camiseta-logo-stwd-l03245500?cS=800&pelement=662014525,https://static.pullandbear.net/assets/public/b532/55f1/abea4a078234/06537cb426a4/03244545800-A20M/03244545800-A20M.jpg?ts=1720013368340&w=438&f=auto,https://static.pullandbear.net/assets/public/d1e9/484c/d92546b3a70d/01088ffc7fdf/07245545800-M/07245545800-M.jpg?ts=1724854124500&w=438&f=auto,14.99,"Camiseta con logo STWD bordado, diseño de manga corta y cuello redondo, detalle de etiqueta en el bajo y confeccionada en tejido de 100% algodón.",,,,14.99,Negro,https://static.pullandbear.net/assets/public/98ba/0937/894e45e3b48e/e9cdecc279e6/03244545800-C/03244545800-C.jpg?ts=1720013312536&w=106&f=auto,3245/500,3245500.0,1030204791.0,In Stock,Negro,Camiseta
Camiseta logo STWD,https://www.pullandbear.com/es/camiseta-logo-stwd-l03245500?cS=250&pelement=662014529,https://static.pullandbear.net/assets/public/d97d/80c4/77eb459fa67c/0eb30a10aa87/07241545250-A20M/07241545250-A20M.jpg?ts=1724150858535&w=438&f=auto,https://static.pullandbear.net/assets/public/9c61/d10d/5f664f5d9d9f/ffa820358968/07245545250-M/07245545250-M.jpg?ts=1724854078469&w=438&f=auto,14.99,"Camiseta con logo STWD bordado, diseño de manga corta y cuello redondo, detalle de etiqueta en el bajo y confeccionada en tejido de 100% algodón.",,,,14.99,Blanco,https://static.pullandbear.net/assets/public/5547/a640/4f234ec68bc9/3fb0391bca67/07241545250-C/07241545250-C.jpg?ts=1724150859553&w=106&f=auto,3245/500,3245500.0,1030204791.0,In Stock,Blanco,Camiseta
Camiseta My Hero Academia,https://www.pullandbear.com/es/camiseta-my-hero-academia-l03245520?cS=826&pelement=662027376,https://static.pullandbear.net/assets/public/c6fe/e98f/876b47ff8f54/3364fef9b8a3/03245520826-A20M/03245520826-A20M.jpg?ts=1731425921597&w=438&f=auto,https://static.pullandbear.net/assets/public/16ac/5ecf/bd2141999b77/3d291568c366/03245520826-M/03245520826-M.jpg?ts=1735567429311&w=438&f=auto,17.99,"Camiseta licencia My Hero Academia con cuello redondo, print delantero y en la espalda, y de manga corta.",,,,17.99,Grisáceo,https://static.pullandbear.net/assets/public/58af/5fca/eccc4148985a/bb56393ad0ce/03245520826-C/03245520826-C.jpg?ts=1731425899404&w=106&f=auto,3245/520,3245520.0,1030139501.0,In Stock,Gris,Camiseta
Camiseta básica manga corta algodón,https://www.pullandbear.com/es/camiseta-basica-manga-corta-algodon-l03245501?cS=802&pelement=667097050,https://static.pullandbear.net/assets/public/3eba/9c94/a7d748e1a8b5/3b81e23fed4e/03245501802-E/03245501802-E.jpg?ts=1733734624354&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/4238/500/802/4238500802_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1710169292851&w=438&f=auto,7.99,"Camiseta básica de manga corta, con cuello redondo y en tejido 100% algodón.",,,,7.99,Gris,https://static.pullandbear.net/2/photos//2024/V/0/2/p/4238/500/802/4238500802_1_1_0.jpg?imwidth=%3Awidth%3A&ts=1708085703988&w=106&f=auto,3245/501,3245501.0,1030204791.0,In Stock,Gris,Camiseta
