Product Name,url,Image 1 URL,Image 2 URL,current_price_x,description,sale_price,old_price,original_price,current_price_y,color,image_url,mpn,reference_code,category_id,Stock Status,color_homogeneizado,Categoria
Polo cuello contraste,https://www.pullandbear.com/es/polo-cuello-contraste-l07201701?cS=807&pelement=621948280,https://static.pullandbear.net/assets/public/8e62/f71d/972f41f3b0dd/686510e04338/07201701807-A1M/07201701807-A1M.jpg?ts=1721678374536&w=438&f=auto,https://static.pullandbear.net/assets/public/4e3e/8f98/f2264702b671/9c2b310c7f28/07201701807-M/07201701807-M.jpg?ts=1721678381848&w=438&f=auto,5.99,"Polo de manga corta disponible en varios colores con detalle de cuello en contraste y logo PB bordado, confeccionado en tejido 100% algodón.",5.99,7.99,12.99,5.99,Gris antracita,https://static.pullandbear.net/assets/public/6788/3674/94f34440901e/4e63218c48b5/07201701807-C/07201701807-C.jpg?ts=1721678379315&w=106&f=auto,7201/701,07201701,1030204790,In stock,,
Camiseta logo Pull&Bear lavada,https://www.pullandbear.com/es/camiseta-logo-pullbear-lavada-l07248706?cS=251&pelement=621942005,https://static.pullandbear.net/assets/public/5cef/51c1/df2e4309bd9a/cd435eba332e/07248706251-A1M/07248706251-A1M.jpg?ts=1718611511684&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7248/706/251/7248706251_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718611536520&w=438&f=auto,3.99,"Camiseta con print de logo de Pull&amp;Bear, de manga corta y cuello redondo, confeccionada en tejido efecto lavado de algodón.",3.99,5.99,12.99,3.99,Blanco roto,https://static.pullandbear.net/assets/public/e662/f9ca/9db04496bcb7/fa25a4a3d6e9/07248706251-C/07248706251-C.jpg?ts=1718014450792&w=106&f=auto,7248/706,07248706,1030204790,In stock,,
Polo cuello contraste,https://www.pullandbear.com/es/polo-cuello-contraste-l07201701?cS=807&pelement=621948280,https://static.pullandbear.net/assets/public/6197/5ac8/182e40b1a94a/a00821d6eb31/07201701807-A6M/07201701807-A6M.jpg?ts=1721678379855&w=438&f=auto,https://static.pullandbear.net/assets/public/4e3e/8f98/f2264702b671/9c2b310c7f28/07201701807-M/07201701807-M.jpg?ts=1721678381848&w=438&f=auto,5.99,"Polo de manga corta disponible en varios colores con detalle de cuello en contraste y logo PB bordado, confeccionado en tejido 100% algodón.",5.99,7.99,12.99,5.99,Gris antracita,https://static.pullandbear.net/assets/public/6788/3674/94f34440901e/4e63218c48b5/07201701807-C/07201701807-C.jpg?ts=1721678379315&w=106&f=auto,7201/701,07201701,1030204790,In stock,,
Polo cuello contraste,https://www.pullandbear.com/es/polo-cuello-contraste-l07201701?cS=807&pelement=621948280,https://static.pullandbear.net/assets/public/8e62/f71d/972f41f3b0dd/686510e04338/07201701807-A1M/07201701807-A1M.jpg?ts=1721678374536&w=438&f=auto,https://static.pullandbear.net/assets/public/4e3e/8f98/f2264702b671/9c2b310c7f28/07201701807-M/07201701807-M.jpg?ts=1721678381848&w=438&f=auto,5.99,"Polo de manga corta disponible en varios colores con detalle de cuello en contraste y logo PB bordado, confeccionado en tejido 100% algodón.",5.99,7.99,12.99,5.99,Gris antracita,https://static.pullandbear.net/assets/public/6788/3674/94f34440901e/4e63218c48b5/07201701807-C/07201701807-C.jpg?ts=1721678379315&w=106&f=auto,7201/701,07201701,1030204790,In stock,,
Camiseta logo Pull&Bear lavada,https://www.pullandbear.com/es/camiseta-logo-pullbear-lavada-l07248706?cS=251&pelement=621942005,https://static.pullandbear.net/assets/public/9418/ec9c/6da341b1b989/cb858f3c4a4c/07248706251-A20M/07248706251-A20M.jpg?ts=1718014446142&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7248/706/251/7248706251_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718611536520&w=438&f=auto,3.99,"Camiseta con print de logo de Pull&amp;Bear, de manga corta y cuello redondo, confeccionada en tejido efecto lavado de algodón.",3.99,5.99,12.99,3.99,Blanco roto,https://static.pullandbear.net/assets/public/e662/f9ca/9db04496bcb7/fa25a4a3d6e9/07248706251-C/07248706251-C.jpg?ts=1718014450792&w=106&f=auto,7248/706,07248706,1030204790,In stock,,
Camiseta logo Pull&Bear lavada,https://www.pullandbear.com/es/camiseta-logo-pullbear-lavada-l07248706?cS=251&pelement=621942005,https://static.pullandbear.net/assets/public/5cef/51c1/df2e4309bd9a/cd435eba332e/07248706251-A1M/07248706251-A1M.jpg?ts=1718611511684&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7248/706/251/7248706251_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718611536520&w=438&f=auto,3.99,"Camiseta con print de logo de Pull&amp;Bear, de manga corta y cuello redondo, confeccionada en tejido efecto lavado de algodón.",3.99,5.99,12.99,3.99,Blanco roto,https://static.pullandbear.net/assets/public/e662/f9ca/9db04496bcb7/fa25a4a3d6e9/07248706251-C/07248706251-C.jpg?ts=1718014450792&w=106&f=auto,7248/706,07248706,1030204790,In stock,,
Sudadera cremallera P&B Black Label,https://www.pullandbear.com/es/sudadera-cremallera-pb-black-label-l07590583?cS=800&pelement=665046825,https://static.pullandbear.net/assets/public/8456/99a0/07b4421b9d2e/f0d5c61f5267/07590583800-A1M/07590583800-A1M.jpg?ts=1732553639208&w=438&f=auto,https://static.pullandbear.net/assets/public/d6be/3869/adde45749b46/2e4bf9fef0c1/07590583800-M/07590583800-M.jpg?ts=1732553642264&w=438&f=auto,12.99,"Sudadera con capucha, cierre delantero de cremallera, bolsillos laterales y confeccionada en algodón.  Colección P&amp;B Black Label",12.99,19.99,29.99,12.99,Negro,https://static.pullandbear.net/assets/public/a476/4143/50fe4b2d8770/07ce784bab5d/07590583800-C/07590583800-C.jpg?ts=1732094872607&w=106&f=auto,7590/583,07590583,1030204821,In stock,,
Sudadera boxy heavy weight,https://www.pullandbear.com/es/sudadera-boxy-heavy-weight-l07590580?cS=800&pelement=631016299,https://static.pullandbear.net/assets/public/b228/0439/916c43f094bf/ccef9762bfc8/07590580800-A1M/07590580800-A1M.jpg?ts=1732117419144&w=438&f=auto,https://static.pullandbear.net/assets/public/545f/0957/52794e92b406/846e6b5531b0/07590580800-M/07590580800-M.jpg?ts=1732117465604&w=438&f=auto,12.99,"Sudadera boxy de manga larga en tejido heavy weight, con capucha, bolsillo delantero tipo canguro y confeccionada en algodón.",12.99,19.99,39.99,12.99,Negro,,7590/580,07590580,1030204821,In stock,,
Sudadera cremallera P&B Black Label,https://www.pullandbear.com/es/sudadera-cremallera-pb-black-label-l07590583?cS=800&pelement=665046825,https://static.pullandbear.net/assets/public/103c/19ff/4c9f45baa6f0/2dbc80384428/07590583800-a6m/07590583800-a6m.jpg?ts=1732094869468&w=438&f=auto,https://static.pullandbear.net/assets/public/d6be/3869/adde45749b46/2e4bf9fef0c1/07590583800-M/07590583800-M.jpg?ts=1732553642264&w=438&f=auto,12.99,"Sudadera con capucha, cierre delantero de cremallera, bolsillos laterales y confeccionada en algodón.  Colección P&amp;B Black Label",12.99,19.99,29.99,12.99,Negro,https://static.pullandbear.net/assets/public/a476/4143/50fe4b2d8770/07ce784bab5d/07590583800-C/07590583800-C.jpg?ts=1732094872607&w=106&f=auto,7590/583,07590583,1030204821,In stock,,
Sudadera cremallera P&B Black Label,https://www.pullandbear.com/es/sudadera-cremallera-pb-black-label-l07590583?cS=800&pelement=665046825,https://static.pullandbear.net/assets/public/8456/99a0/07b4421b9d2e/f0d5c61f5267/07590583800-A1M/07590583800-A1M.jpg?ts=1732553639208&w=438&f=auto,https://static.pullandbear.net/assets/public/d6be/3869/adde45749b46/2e4bf9fef0c1/07590583800-M/07590583800-M.jpg?ts=1732553642264&w=438&f=auto,12.99,"Sudadera con capucha, cierre delantero de cremallera, bolsillos laterales y confeccionada en algodón.  Colección P&amp;B Black Label",12.99,19.99,29.99,12.99,Negro,https://static.pullandbear.net/assets/public/a476/4143/50fe4b2d8770/07ce784bab5d/07590583800-C/07590583800-C.jpg?ts=1732094872607&w=106&f=auto,7590/583,07590583,1030204821,In stock,,
