Product Name,url,Image 1 URL,Image 2 URL,current_price_x,description,sale_price,old_price,original_price,current_price_y,color,image_url,mpn,reference_code,category_id,Stock Status,color_homogeneizado,Categoria
Camiseta Arcane,https://www.pullandbear.com/es/camiseta-arcane-l03245907?cS=250&pelement=662031455,https://static.pullandbear.net/assets/public/14f5/5d6a/5e724094993e/1bb8b85ff669/03245907250-a20m/03245907250-a20m.jpg?ts=1734024020087&w=438&f=auto,https://static.pullandbear.net/assets/public/d89a/771c/b1374a73b5fd/d49c6004ee3e/03245907250-M/03245907250-M.jpg?ts=1736780671128&w=438&f=auto,15.99,"Camiseta licencia Arcane de color blanco con gráfico en contraste, de manga corta, con cuello redondo y confeccionada en algodón.",,,,15.99,Blanco,https://static.pullandbear.net/assets/public/2329/ceae/23a749d3a684/aa1ea6648b68/03245907250-C/03245907250-C.jpg?ts=1734024014164&w=106&f=auto,3245/907,3245907.0,1030139501.0,Out of Stock,Blanco,Camiseta
Camiseta El Juego del Calamar,https://www.pullandbear.com/es/camiseta-el-juego-del-calamar-l03245916?cS=251&pelement=664248847,https://static.pullandbear.net/assets/public/3233/6a3e/8ce046c5b36b/1e12ef0e7fe8/03245916251-A7M/03245916251-A7M.jpg?ts=1734445912411&w=438&f=auto,https://static.pullandbear.net/assets/public/86f8/fe2c/8f1a436c8fff/1935a997a3c0/03245916251-M/03245916251-M.jpg?ts=1734085098608&w=438&f=auto,17.99,"Camiseta licencia El Juego del Calamar con gráfico y texto delantero y en la espalda, cuello redondo y de manga corta.",,,,17.99,Blanco roto,https://static.pullandbear.net/assets/public/0c31/0078/71e34ee7a1c0/913105f31dd2/03245916251-C/03245916251-C.jpg?ts=1734342890829&w=106&f=auto,3245/916,3245916.0,1030139501.0,Out of Stock,Blanco,Camiseta
Camiseta sin mangas detalle texto,https://www.pullandbear.com/es/camiseta-sin-mangas-detalle-texto-l03241784?cS=250&pelement=667131236,https://static.pullandbear.net/assets/public/7e23/b582/7eaa4f48a496/303f44566642/03241784250-A6M/03241784250-A6M.jpg?ts=1719400255341&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/I/0/2/p/3241/784/250/3241784250_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1719400202001&w=438&f=auto,9.99,"Camiseta sin mangas disponible en varios tonos, con detalle de texto, cuello redondo y confeccionada en tejido de algodón.",,,,9.99,Blanco,https://static.pullandbear.net/assets/public/958a/a778/cf67402badc4/4eb527ebd1ce/03241784250-C/03241784250-C.jpg?ts=1719400255827&w=106&f=auto,3241/784,3241784.0,1030204791.0,Out of Stock,Blanco,Camiseta
Camiseta sin mangas detalle texto,https://www.pullandbear.com/es/camiseta-sin-mangas-detalle-texto-l03241784?cS=802&pelement=667131235,https://static.pullandbear.net/assets/public/f0fb/9a17/18884e20b72a/012d00d6cd81/03241784802-A6M/03241784802-A6M.jpg?ts=1719400272992&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/I/0/2/p/3241/784/802/3241784802_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1719400202041&w=438&f=auto,9.99,"Camiseta sin mangas disponible en varios tonos, con detalle de texto, cuello redondo y confeccionada en tejido de algodón.",,,,9.99,Gris,https://static.pullandbear.net/assets/public/c6d5/c63d/58fb41d1ba39/32efd412e201/03241784802-C/03241784802-C.jpg?ts=1719400273125&w=106&f=auto,3241/784,3241784.0,1030204791.0,Out of Stock,Gris,Camiseta
Sudadera manga corta Slytherin serpiente,https://www.pullandbear.com/es/sudadera-manga-corta-slytherin-serpiente-l03594708?cS=250&pelement=662032078,https://static.pullandbear.net/assets/public/485f/4052/bfb04f24bfab/70732b1cba23/03594708250-M/03594708250-M.jpg?ts=1735230757709&w=438&f=auto,https://static.pullandbear.net/assets/public/a403/8927/097641b1a830/6cda6bbb34d5/03594708250-A2M/03594708250-A2M.jpg?ts=1735230743392&w=438&f=auto,22.99,"Sudadera de manga corta con texto &#39;Slytherin&#39; en la parte delantera y gráfico de serpiente, y cuello redondo.",,,,22.99,Blanco,https://static.pullandbear.net/assets/public/5b6b/88e6/f66c4bf98d89/1c23eacbbc5b/03594708250-C/03594708250-C.jpg?ts=1735230754915&w=106&f=auto,3594/708,3594708.0,1030139501.0,Out of Stock,Blanco,Camiseta
Camiseta STWD coche,https://www.pullandbear.com/es/camiseta-stwd-coche-l07248937?cS=643&pelement=627106253,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7248/937/643/7248937643_2_1_0.jpg?imwidth=%3Awidth%3A&ts=1720450841673&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7248/937/643/7248937643_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1720450895186&w=438&f=auto,3.99,"Camiseta STWD con gráfico de coche disponible en varios colores, de manga corta y cuello redondo y confeccionada en tejido efecto lavado de algodón.",3.99,5.99,12.99,3.99,Mandarina,https://static.pullandbear.net/assets/public/5f2b/2c12/7e1b4fa6a109/2ec8d36d89fd/07248937643-C/07248937643-C.jpg?ts=1719504942873&w=106&f=auto,7248/937,7248937.0,1030204790.0,Out of Stock,Otros,Camiseta
Camiseta STWD helado,https://www.pullandbear.com/es/camiseta-stwd-helado-l07248939?cS=520&pelement=627106251,https://static.pullandbear.net/assets/public/b7ae/b53d/850345e1b6f1/1f2a2866dea9/07248939520-A1M/07248939520-A1M.jpg?ts=1720450901124&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7248/939/520/7248939520_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1720450883844&w=438&f=auto,3.99,"Camiseta STWD con gráfico de helado disponible en varios colores, de manga corta y cuello redondo y confeccionada en tejido efecto lavado de algodón.",3.99,5.99,12.99,3.99,Lima,https://static.pullandbear.net/assets/public/1f45/c4e1/60fd4feda307/a165fc59d79a/07248939520-C/07248939520-C.jpg?ts=1719504972423&w=106&f=auto,7248/939,7248939.0,1030204790.0,Out of Stock,Verde,Camiseta
Camiseta manga corta rayas anchas,https://www.pullandbear.com/es/camiseta-manga-corta-rayas-anchas-l03243505?cS=777&pelement=621953916,https://static.pullandbear.net/assets/public/5e51/2bd4/0cab48d9a98d/c2780ad8ea8f/03243903777-A1M/03243903777-A1M.jpg?ts=1724660239746&w=438&f=auto,https://static.pullandbear.net/assets/public/5f8a/e603/fecf4ff0a914/9880a09525db/03243903777-M/03243903777-M.jpg?ts=1724660261605&w=438&f=auto,3.99,"Camiseta con diseño de rayas anchas disponible en varios tonos, de manga corta, con cuello redondo y confeccionada en algodón.",3.99,5.99,12.99,3.99,Varios,https://static.pullandbear.net/2/photos//2024/V/0/2/p/3243/505/777/3243505777_1_1_0.jpg?imwidth=%3Awidth%3A&ts=1709801435354&w=106&f=auto,3243/505,3243505.0,1030204790.0,Out of Stock,Multicolor,Camiseta
Camiseta rayas manga corta,https://www.pullandbear.com/es/camiseta-rayas-manga-corta-l07248563?cS=615&pelement=621954144,https://static.pullandbear.net/assets/public/1b0d/3306/4a674ee09a10/0aeca00f14c1/07248563615-A1M/07248563615-A1M.jpg?ts=1719572874754&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7248/563/615/7248563615_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1719572932257&w=438&f=auto,3.99,,,,,,,,,,,Out of Stock,Otros,Camiseta
Camiseta print manga corta,https://www.pullandbear.com/es/camiseta-print-manga-corta-l03243587?cS=711&pelement=621956413,https://static.pullandbear.net/assets/public/32de/2845/065f476ba429/20afd565c85e/03243587711-A1M/03243587711-A1M.jpg?ts=1720450959408&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/I/0/2/p/3243/587/711/3243587711_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1720451031230&w=438&f=auto,3.99,"Camiseta con detalle de print, de manga corta y cuello redondo y confeccionada en tejido 100% algodón.",3.99,5.99,12.99,3.99,Arena,https://static.pullandbear.net/assets/public/a4c1/24a2/98614ed19700/394683ec1eee/03243587711-C/03243587711-C.jpg?ts=1719505047523&w=106&f=auto,3243/587,3243587.0,1030204790.0,Out of Stock,Marrón claro,Camiseta
