product_name,url,image1_url,image2_url,product_price,description,sale_price,old_price,original_price,current_price,color,image_url,mpn,reference_code,category_id,Stock Status,color_homogeneizado,Categoria
Camiseta negra Sakamoto,https://www.pullandbear.com/es/camiseta-negra-sakamoto-l03245918?cS=800&pelement=664248878,https://static.pullandbear.net/assets/public/595d/be1d/30204d9e8961/0eb185c1cb60/03245918800-a20m/03245918800-a20m.jpg?ts=1736339496333&w=438&f=auto,https://static.pullandbear.net/assets/public/c6b5/3d2b/572e47cd984f/c1a8a9d849e0/03245918800-M/03245918800-M.jpg?ts=1736936983473&w=438&f=auto,17.99,"Camiseta licencia Sakamoto de color negro con gráfico en contraste, de manga corta, cuello redondo y confeccionada en algodón.",,,,17.99,Negro,https://static.pullandbear.net/assets/public/884c/5f0d/4e0b4b309431/23ed56de321f/03245918800-C/03245918800-C.jpg?ts=1737122643144&w=106&f=auto,3245/918,03245918,1030139501,Out of Stock,Negro,Camiseta
Polo rayas Sakamoto,https://www.pullandbear.com/es/polo-rayas-sakamoto-l03245920?cS=104&pelement=664248876,https://static.pullandbear.net/assets/public/6919/7f90/465845648597/609344455b0e/03245920104-A7M/03245920104-A7M.jpg?ts=1737451004731&w=438&f=auto,https://static.pullandbear.net/assets/public/634c/d4fb/db5d4b5ebcbe/e578e2ae1f0a/03245920104-M/03245920104-M.jpg?ts=1736936981200&w=438&f=auto,25.99,"Polo de manga corta licencia Sakamoto de color blanco con estampado de rayas en color rojo y parche bordado, confeccionado en algodón.",,,,25.99,Rayas,https://static.pullandbear.net/assets/public/6173/20b5/e796466894a8/2fd3f823235a/03245920104-C/03245920104-C.jpg?ts=1736956571527&w=106&f=auto,3245/920,03245920,1030139501,Out of Stock,Multicolor,Polo
Polo punto manga corta calado,https://www.pullandbear.com/es/polo-punto-manga-corta-calado-l03555526?cS=746&pelement=621948537,https://static.pullandbear.net/assets/public/4c40/202b/d11d47c2bc06/83afea0c607a/03555526746-A6M/03555526746-A6M.jpg?ts=1721766473387&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/3555/526/746/3555526746_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1710437926058&w=438&f=auto,9.99,Polo de punto de manga corta con detalle de calados y cuello camisero.,9.99,12.99,22.99,9.99,Natural,https://static.pullandbear.net/assets/public/4cef/d97f/e90a46ba9ba0/6a20a7533e5a/03555526746-C/03555526746-C.jpg?ts=1721766475185&w=106&f=auto,3555/526,03555526,1030204764,Out of Stock,Marrón claro,Polo
Jersey manga corta lavado,https://www.pullandbear.com/es/jersey-manga-corta-lavado-l03555531?cS=833&pelement=624353724,https://static.pullandbear.net/assets/public/c6f1/18cd/9bbe41c490c1/a75c1fe23e01/03555531833-A6M/03555531833-A6M.jpg?ts=1719914369331&w=438&f=auto,https://static.pullandbear.net/assets/public/ee9f/e445/b3fe440d8220/e1ffb4baa5fd/03555531833-M/03555531833-M.jpg?ts=1722521345746&w=438&f=auto,9.99,"Jersey de manga corta con print de frase &#39;Long days&#39;, de cuello redondo y confeccionado en tejido de algodón",9.99,12.99,22.99,9.99,Negro delavado,https://static.pullandbear.net/assets/public/8b22/5da7/8a694927bf50/e6603e654fab/03555531833-C/03555531833-C.jpg?ts=1719914384627&w=106&f=auto,3555/531,03555531,1030204756,Out of Stock,Negro,Jersey
Camisa fluida manga corta,https://www.pullandbear.com/es/camisa-fluida-manga-corta-l07470707?cS=711&pelement=627595175,https://static.pullandbear.net/assets/public/70f1/c357/f03f46999604/e899e45094b5/07470707711-M/07470707711-M.jpg?ts=1723623971109&w=438&f=auto,https://static.pullandbear.net/assets/public/d557/ec37/9d8642c492a8/9ebacc7e9776/07470707711-A2M/07470707711-A2M.jpg?ts=1723623936563&w=438&f=auto,7.99,"Camisa fluida de manga corta con cuello solapa y cierre de botones, disponible en varios colores y confeccionada en tejido 100% viscosa.",7.99,9.99,22.99,7.99,Arena,https://static.pullandbear.net/assets/public/5e84/5bea/f9834bcc872e/d39645d00996/07470707711-C/07470707711-C.jpg?ts=1722584554928&w=106&f=auto,7470/707,07470707,1030204765,Out of Stock,Marrón claro,Camisa
Camisa boxy P&B Black Label,https://www.pullandbear.com/es/camisa-boxy-pb-black-label-l03474500?cS=800&pelement=653047688,https://static.pullandbear.net/assets/public/812e/d818/647b4dab9069/4682b9072e94/03474500800-A7M/03474500800-A7M.jpg?ts=1728991050443&w=438&f=auto,https://static.pullandbear.net/assets/public/08e6/4083/de0c40b6baee/26b983bf8bb7/03474500800-M/03474500800-M.jpg?ts=1728902789241&w=438&f=auto,7.99,Camisa boxy de manga larga con cierre de botonesy bolsillo delantero.  Colección P&amp;B Black Label,7.99,9.99,35.99,7.99,Negro,https://static.pullandbear.net/assets/public/11c6/17ab/98fd4b6f8ccc/e32cd983fd18/03474500800-C/03474500800-C.jpg?ts=1727789104422&w=106&f=auto,3474/500,03474500,1030204765,Out of Stock,Negro,Camisa
Camisa cuello mao,https://www.pullandbear.com/es/camisa-cuello-mao-l03470550?cS=537&pelement=629315946,https://static.pullandbear.net/2/photos//2024/I/0/2/p/3470/550/537/3470550537_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718714812616&w=438&f=auto,https://static.pullandbear.net/assets/public/7855/5c1e/ff1544e28a4d/c0795a50c487/03471550537-A2M/03471550537-A2M.jpg?ts=1718714846070&w=438&f=auto,7.99,Camisa de manga larga y cuello mao con cierre de botones.,7.99,9.99,25.99,7.99,Menta,https://static.pullandbear.net/assets/public/53cb/9a51/1b6d4b15a616/874fd407e530/03471550537-C/03471550537-C.jpg?ts=1718033112475&w=106&f=auto,3470/550,03470550,1030204765,Out of Stock,Verde,Camisa
Camisa pana tie-dye,https://www.pullandbear.com/es/camisa-pana-tiedye-l07470500?cS=802&pelement=624983452,https://static.pullandbear.net/assets/public/5196/69fb/5efc41d6a876/2c917e5cfdc6/07470500802-M/07470500802-M.jpg?ts=1727096594971&w=438&f=auto,https://static.pullandbear.net/assets/public/1efe/b1cf/fe634580aa9f/07f8a36e3440/07470500802-A2M/07470500802-A2M.jpg?ts=1727096501279&w=438&f=auto,7.99,"Camisa de pana de manga larga con efecto tie-dye, cierre de botones y de manga larga.",7.99,9.99,29.99,7.99,Gris,https://static.pullandbear.net/assets/public/1743/cff0/b46f4a41b1e6/d129db884740/07470500802-C/07470500802-C.jpg?ts=1724051471688&w=106&f=auto,7470/500,07470500,1030204765,Out of Stock,Gris,Camisa
Camisa manga corta cropped,https://www.pullandbear.com/es/camisa-manga-corta-cropped-l03470924?cS=250&pelement=621954033,https://static.pullandbear.net/assets/public/b4c4/4369/835f4f26ad9d/a8f1c7dee05d/03470924250-A1M/03470924250-A1M.jpg?ts=1724677423948&w=438&f=auto,https://static.pullandbear.net/assets/public/a2c7/6e46/bf284c6ead8a/59a43c8317e1/03470924250-M/03470924250-M.jpg?ts=1724677418519&w=438&f=auto,7.99,"Camisa de manga corta cropped fit con gráficos, cuello clásico y cierre de botones, confeccionado en tejido de popelín.",7.99,9.99,25.99,7.99,Blanco,https://static.pullandbear.net/assets/public/7472/1db1/7cc947b29db3/b1dd48cf9c3f/03470924250-C/03470924250-C.jpg?ts=1724151803128&w=106&f=auto,3470/924,03470924,1030204765,Out of Stock,Blanco,Camisa
Camisa boxy manga larga,https://www.pullandbear.com/es/camisa-boxy-manga-larga-l03474900?cS=251&pelement=662027435,https://static.pullandbear.net/assets/public/1535/43e7/28de4f75b6e1/1b52bd1e0494/03474900251-M/03474900251-M.jpg?ts=1731928361146&w=438&f=auto,https://static.pullandbear.net/assets/public/6858/cafd/a00343b7848b/c39921794691/03474900251-A2M/03474900251-A2M.jpg?ts=1731928352604&w=438&f=auto,27.99,Camisa boxy de manga larga con cierre de botones y en tejido de popelín.,,,,27.99,Blanco roto,https://static.pullandbear.net/assets/public/cae5/44fb/35704adda63c/05ba76f0d28c/03474900251-c/03474900251-c.jpg?ts=1732030376943&w=106&f=auto,3474/900,03474900,1030204766,Out of Stock,Blanco,Camisa
