Product Name,url,Image 1 URL,Image 2 URL,description,sale_price,old_price,original_price,current_price,color,image_url,mpn,reference_code,category_id,Stock Status,Categoria,color_homogeneizado,style_tags
Pack chándal sudadera jogger,https://www.pullandbear.com/es/pack-chandal-sudadera-jogger-l07590904?cS=827&pelement=662031722,https://static.pullandbear.net/assets/public/1c57/8e42/a1b04dbc956c/9c5c52c9eba6/03594926827-a6m/03594926827-a6m.jpg?ts=1735837487376&w=438&f=auto,https://static.pullandbear.net/assets/public/8011/5a85/df7d4b0f8f5a/d662258e2273/07590906827-M/07590906827-M.jpg?ts=1736350384306&w=438&f=auto,"Pack de pantalón jogger y sudadera de chándal con capucha, disponible en varios colores.",,,,38.99,Vigoré claro,https://static.pullandbear.net/assets/public/813f/850e/82f24be4bb55/ba2ed8070797/03594926827-C/03594926827-C.jpg?ts=1735837471635&w=106&f=auto,7590/904,7590904.0,1030204719.0,In Stock,Pack,Gris,Futurista
Pack chándal sudadera jogger,https://www.pullandbear.com/es/pack-chandal-sudadera-jogger-l07590904?cS=712&pelement=662031720,https://static.pullandbear.net/assets/public/764a/faf2/440f47b7bd6b/7f5bcdba0fe3/03594927712-a6m/03594927712-a6m.jpg?ts=1735837492675&w=438&f=auto,https://static.pullandbear.net/assets/public/0fb8/8544/30b7485e856f/189f472fe303/07590907712-M/07590907712-M.jpg?ts=1728310318549&w=438&f=auto,"Pack de pantalón jogger y sudadera de chándal con capucha, disponible en varios colores.",,,,38.99,Crudo,https://static.pullandbear.net/assets/public/065b/70ef/8a254493b72f/16b1f6de0bbb/03594927712-C/03594927712-C.jpg?ts=1735837474881&w=106&f=auto,7590/904,7590904.0,1030204719.0,In Stock,Pack,Marrón claro,Rústico
Pack chándal sudadera jogger,https://www.pullandbear.com/es/pack-chandal-sudadera-jogger-l07590908?cS=807&pelement=667124761,https://static.pullandbear.net/assets/public/1aa1/712a/3f3c4c2fb3da/4d38e2d663bd/07590908807-A6M/07590908807-A6M.jpg?ts=1725887677239&w=438&f=auto,https://static.pullandbear.net/assets/public/f6f4/48ea/47df41a48f57/0a544331c625/07590908807-M/07590908807-M.jpg?ts=1726482916860&w=438&f=auto,Pack de pantalón jogger y sudadera de chándal disponible en varios colores.,,,,36.99,Gris antracita,https://static.pullandbear.net/assets/public/267f/c186/886d42ebaa13/1053745ef9a2/07590908807-C/07590908807-C.jpg?ts=1725887678470&w=106&f=auto,7590/908,7590908.0,1030204719.0,In Stock,Pack,Gris,Rústico
Pantalón chándal baggy,https://www.pullandbear.com/es/pantalon-chandal-baggy-l07679500?cS=807&pelement=662027216,https://static.pullandbear.net/assets/public/0401/d40c/ae81488eaa40/abb11a39cb58/07679500807-E/07679500807-E.jpg?ts=1727786607825&w=438&f=auto,https://static.pullandbear.net/assets/public/27fd/72b3/944540d8a9c3/2a2b680bf0d0/07679501807-M/07679501807-M.jpg?ts=1726483077322&w=438&f=auto,"Pantalón de chándal jogger de corte baggy, con detalle de logo engomado, bolsillos laterales, cintura elástica con cordón y confeccionada en algodón.",,,,22.99,Gris antracita,https://static.pullandbear.net/assets/public/00a2/03c6/d3924b07a4f1/efb76aa56f45/07679501807-C/07679501807-C.jpg?ts=1726492936458&w=106&f=auto,7679/500,7679500.0,1030204719.0,In Stock,Pantalón,Gris,Bohemio
Pantalón jogger cargo,https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678502?cS=400&pelement=662014772,https://static.pullandbear.net/assets/public/8f28/9a9e/8b5b4cfb84ee/52006268d6c9/07678502400-M/07678502400-M.jpg?ts=1731060350791&w=438&f=auto,https://static.pullandbear.net/assets/public/b15f/92e2/89944da3aa74/d19fb7afed9b/07678502400-A2M/07678502400-A2M.jpg?ts=1718619488029&w=438&f=auto,"Pantalón jogger cargo con cintura elástica con cordón, bolsillos y bajos elásticos.",,,,25.99,Azul,https://static.pullandbear.net/assets/public/a674/d5f2/a9df4a33a1d1/5d2b4ee901fd/07678502400-C/07678502400-C.jpg?ts=1731060381847&w=106&f=auto,7678/502,7678502.0,1030204719.0,In Stock,Pantalón,Azul,Bohemio
Pantalón chándal STWD,https://www.pullandbear.com/es/pantalon-chandal-stwd-l07678506?cS=803&pelement=662026663,https://static.pullandbear.net/assets/public/b323/39b2/355a4d9b8e34/152552123f04/07678506803-A1M/07678506803-A1M.jpg?ts=1724661516563&w=438&f=auto,https://static.pullandbear.net/assets/public/f72e/0b9c/d5984d6b956b/db8995976097/07678506803-M/07678506803-M.jpg?ts=1724661523765&w=438&f=auto,"Pantalón jogger chándal STWD con cintura elástica con cordón, bolsillos y en tejido fleece.",,,,19.99,Gris vigoré,https://static.pullandbear.net/assets/public/4afb/d93b/99eb492a9a6c/5169deefd5a1/07678506803-C/07678506803-C.jpg?ts=1721661495077&w=106&f=auto,7678/506,7678506.0,1030204719.0,In Stock,Pantalón,Gris,Futurista
Pantalón jogger cargo,https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678502?cS=805&pelement=662014777,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7678/502/805/7678502805_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718357053465&w=438&f=auto,https://static.pullandbear.net/assets/public/1ddc/4a5f/bbf14d089b4d/8d220fb47037/07678502805-A2M/07678502805-A2M.jpg?ts=1718357019273&w=438&f=auto,"Pantalón jogger cargo con cintura elástica con cordón, bolsillos y bajos elásticos.",,,,25.99,Hielo,https://static.pullandbear.net/assets/public/bc49/399f/cb0b44ff93b9/af54d26084f4/07678502805-C/07678502805-C.jpg?ts=1718024932970&w=106&f=auto,7678/502,7678502.0,1030204719.0,In Stock,Pantalón,Marrón claro,Vintage
Pantalón chándal técnico,https://www.pullandbear.com/es/pantalon-chandal-tecnico-l07678503?cS=800&pelement=662021369,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7678/503/800/7678503800_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718024524911&w=438&f=auto,https://static.pullandbear.net/assets/public/2277/6815/e6c248559e03/27e8ccec2749/07678503800-A2M/07678503800-A2M.jpg?ts=1718024516443&w=438&f=auto,"Pantalón jogger chándal técnico en tejido interlock elástico, con bolsillos laterales con cremallera, cintura elástica con cordón y disponible en varios colores.",,,,19.99,Negro,https://static.pullandbear.net/assets/public/4df0/7105/c98d45aaad71/cf9d64fce859/07678503800-c/07678503800-c.jpg?ts=1720745031869&w=106&f=auto,7678/503,7678503.0,1030204719.0,In Stock,Pantalón,Negro,Elegante
Pantalón jogger punto suave,https://www.pullandbear.com/es/pantalon-jogger-punto-suave-l07678513?cS=805&pelement=662014922,https://static.pullandbear.net/assets/public/c2ae/67b4/203b40ab9e71/42a535eafde2/07678513805-M/07678513805-M.jpg?ts=1723623613468&w=438&f=auto,https://static.pullandbear.net/assets/public/0e40/71fe/2b68433ab7a1/3401baa90603/07678513805-A2M/07678513805-A2M.jpg?ts=1723623600016&w=438&f=auto,Pantalón jogger de punto suave con cintura elástica con cordón y bolsillos.,,,,25.99,Hielo,https://static.pullandbear.net/assets/public/68dd/0e4f/194a4a97bc2e/7d8067a05028/07678513805-C/07678513805-C.jpg?ts=1719849971603&w=106&f=auto,7678/513,7678513.0,1030204719.0,In Stock,Pantalón,Marrón claro,Casual
Pantalón chándal baggy,https://www.pullandbear.com/es/pantalon-chandal-baggy-l07679500?cS=800&pelement=662027211,https://static.pullandbear.net/assets/public/e06b/03f4/dc144853805a/a911414a9f29/07679501800-A7M/07679501800-A7M.jpg?ts=1726492132412&w=438&f=auto,https://static.pullandbear.net/assets/public/b0ae/fcd8/d8774655b3bf/b5db050ebcd0/07679501800-M/07679501800-M.jpg?ts=1726483079106&w=438&f=auto,"Pantalón de chándal jogger de corte baggy, con detalle de logo engomado, bolsillos laterales, cintura elástica con cordón y confeccionada en algodón.",,,,22.99,Negro,https://static.pullandbear.net/assets/public/d940/3332/49f24edcb4be/7fbe6053ef5f/07679501800-C/07679501800-C.jpg?ts=1725367908600&w=106&f=auto,7679/500,7679500.0,1030204719.0,In Stock,Pantalón,Negro,Minimalista
Pantalón jogger cargo,https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678505?cS=507&pelement=662026868,https://static.pullandbear.net/assets/public/9119/1bb0/300946b6b5d6/1b9921de084e/07678505507-M/07678505507-M.jpg?ts=1722870595943&w=438&f=auto,https://static.pullandbear.net/assets/public/4aa9/1a79/261b4ddfa31e/83c00aa7c262/07678505507-A2M/07678505507-A2M.jpg?ts=1722865750906&w=438&f=auto,"Pantalón jogger cargo con diseño de multibolsillos de solapa en pernera, cintura elástica con cordón ajustable y bajos elásticos.",,,,35.99,Caqui oscuro,https://static.pullandbear.net/assets/public/0bca/aaeb/0a284700beda/d4baae6305c3/07678505507-C/07678505507-C.jpg?ts=1720012530977&w=106&f=auto,7678/505,7678505.0,1030204719.0,In Stock,Pantalón,Marrón claro,Elegante
Pantalón chándal STWD,https://www.pullandbear.com/es/pantalon-chandal-stwd-l07678506?cS=800&pelement=662026662,https://static.pullandbear.net/assets/public/5af8/5613/96164471a3e2/eaef4a9002ed/07678506800-A1M/07678506800-A1M.jpg?ts=1724661479134&w=438&f=auto,https://static.pullandbear.net/assets/public/d982/dff6/f8f4439ebf18/27ab38d5cc8b/07678506800-M/07678506800-M.jpg?ts=1724661498765&w=438&f=auto,"Pantalón jogger chándal STWD con cintura elástica con cordón, bolsillos y en tejido fleece.",,,,19.99,Negro,,7678/506,7678506.0,1030204719.0,In Stock,Pantalón,Negro,Minimalista
